,Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
1200,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-22,31.0,,3.9
1201,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-24,10.0,1.0,3.9
1203,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,10.0,2024-04-01,93.21,1.0,5.9
1204,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-08,17.0,2024-04-08,17.0,,5.9
1205,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,32.0,2024-04-11,31.0,,5.9
1206,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,6.0,2024-04-12,6.24,,5.9
1207,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-13,3.0,2024-04-13,3.0,,5.9
1208,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-16,31.0,2024-04-16,148.36,2.0,5.9
1209,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-17,15.0,2024-04-17,45.0,,5.9
1210,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,15.0,2024-04-18,15.0,,5.9
1211,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-21,66.0,2024-04-21,66.0,,5.9
1212,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-24,71.0,2024-04-24,71.0,,5.9
1213,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,82.0,2024-04-25,82.0,1.0,5.9
1214,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-26,123.0,2024-04-26,123.0,2.0,5.9
1215,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-27,0.0,2024-04-27,153.24,2.0,5.9
1217,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,235.0,2024-04-01,286.0,4.0,3.6
1218,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,49.0,2024-04-11,49.0,2.0,3.6
1219,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,16.0,2024-04-12,16.0,1.0,3.6
1220,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-15,5.0,2024-04-15,5.0,,3.6
1221,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,28.0,2024-04-18,28.0,,3.6
1222,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-27,26.0,2024-04-19,298.0,1.0,3.6
1223,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-28,8.0,2024-04-20,17.0,1.0,3.6
1224,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-30,49.0,2024-04-23,54.0,2.0,3.6
1225,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-24,14.0,,3.6
1226,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-25,22.0,,3.6
1227,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-26,455.0,6.0,3.6
